Epoch,Accuracy,TrainLoss
1161,93.75,0.130622
1162,93.75,0.116979
1163,87.5,0.629666
1164,100,0.0634571
1165,100,0.0370551
1166,93.75,0.145645
1167,100,0.0383255
1168,93.75,0.137037
1169,93.75,0.206944
1170,87.5,0.349239
1171,93.75,0.276631
1172,81.25,0.450366
1173,100,0.0474383
1174,93.75,0.0999079
1175,100,0.0525973
1176,100,0.117304
1177,93.75,0.216584
1178,93.75,0.274697
1179,100,0.047482
1180,100,0.0874187
1181,93.75,0.0654922
1182,100,0.0916964
1183,100,0.0380449
1184,100,0.0170412
1185,100,0.0444577
1186,100,0.0388715
1187,93.75,0.138843
1188,93.75,0.310202
1189,100,0.0366051
1190,93.75,0.143018
1191,100,0.032073
1192,93.75,0.315745
1193,100,0.041643
1194,93.75,0.206302
1195,87.5,0.313382
1196,93.75,0.333671
1197,93.75,0.147419
1198,93.75,0.142395
1199,100,0.0209839
1200,100,0.0903727
1201,93.75,0.134665
1202,87.5,0.361912
1203,93.75,0.642296
1204,93.75,0.159071
1205,93.75,0.30384
1206,100,0.0265064
1207,100,0.025379
1208,93.75,0.0952502
1209,93.75,0.318577
1210,81.25,0.323034
1211,87.5,0.539856
1212,100,0.0358525
1213,100,0.0132272
1214,87.5,0.206349
1215,87.5,0.255748
1216,93.75,0.0991053
1217,93.75,0.0893448
1218,100,0.0363526
1219,87.5,0.482648
1220,100,0.0226974
1221,100,0.0689116
1222,87.5,0.552241
1223,93.75,0.185534
1224,93.75,0.171086
1225,93.75,0.11729
1226,100,0.0511481
1227,100,0.0321818
1228,93.75,0.111206
1229,100,0.0325313
1230,93.75,0.190845
1231,100,0.0218797
1232,93.75,0.100318
1233,100,0.0618082
1234,100,0.0234074
1235,100,0.0874049
1236,100,0.00461398
1237,93.75,0.378334
1238,100,0.0160163
1239,93.75,0.133139
1240,81.25,0.491858
1241,100,0.0571096
1242,87.5,0.207705
1243,93.75,0.120537
1244,100,0.114559
1245,93.75,0.0764552
1246,93.75,0.0969432
1247,93.75,0.267973
1248,100,0.00787099
1249,100,0.0804072
1250,93.75,0.233297
1251,93.75,0.200208
1252,87.5,0.385114
1253,87.5,0.191791
1254,100,0.0499311
1255,93.75,0.281641
1256,93.75,0.272896
1257,87.5,0.212039
1258,93.75,0.12169
1259,100,0.0247535
1260,93.75,0.148533
1261,68.75,1.50383
1262,93.75,0.245795
1263,93.75,0.285148
1264,93.75,0.118665
1265,93.75,0.269966
1266,93.75,0.184434
1267,100,0.0528903
1268,100,0.0432742
1269,100,0.0446521
1270,100,0.0561585
1271,93.75,0.207749
1272,93.75,0.322292
1273,100,0.0890764
1274,93.75,0.105978
1275,100,0.0347646
1276,93.75,0.2507
1277,100,0.0178077
1278,100,0.147508
1279,100,0.0410594
1280,100,0.0580541
1281,100,0.019722
1282,93.75,0.095918
1283,93.75,0.0658296
1284,93.75,0.20236
1285,100,0.0585951
1286,87.5,0.631051
